,endTime,artistName,trackName,msPlayed,artist_uri,album_uri,track_uri,listen_count
95,2021-02-22 03:18,Polo & Pan,Arc-en-ciel,231306,spotify:artist:45yEuthJ9yq1rNXAOpBnqM,spotify:album:2oM0352CT43WHNwS8a6OPo,spotify:track:1gWZZyQPb8KxMLS88wCdGR,11.0
96,2021-02-22 03:24,Polo & Pan,Dorothy,316372,spotify:artist:45yEuthJ9yq1rNXAOpBnqM,spotify:album:7lJXrA1jzqGVpLUyLIYXLK,spotify:track:2GuIRSthEpYN5MO6PGD7Vx,13.0
97,2021-02-22 03:27,Corine,Pluie fine Polo Pan Remix,238081,spotify:artist:6vs7gfG3OVDyBiY7loLsyQ,spotify:album:6mM9jFuElvjw45AfSHNf0c,spotify:track:33F1mJbbdTdmZuSI5zxoSw,21.0
98,2021-02-22 03:41,Yuksek,Cadenza Edit,193173,spotify:artist:2ePIzx9NjxplS724QMZtsf,spotify:album:4SDT1aWAajt4ICuwa1sfiN,spotify:track:2eurAydCrpvsrW2nwaKDez,15.0
99,2021-02-22 06:30,Yuksek,Cadenza Edit,10846,spotify:artist:2ePIzx9NjxplS724QMZtsf,spotify:album:4SDT1aWAajt4ICuwa1sfiN,spotify:track:2eurAydCrpvsrW2nwaKDez,15.0
100,2021-02-22 06:32,Keala Settle,"This Is Me Alan Walker Relift; from ""The Greatest Showman""",73549,spotify:artist:7HV2RI2qNug4EcQqLbCAKS,spotify:album:7luUoT7Y82DkMvGzZib8oo,spotify:track:1QBoJK6GLAYMlNblm5gFBP,3.0
101,2021-02-22 06:34,Keala Settle,"This Is Me Alan Walker Relift; from ""The Greatest Showman""",96007,spotify:artist:7HV2RI2qNug4EcQqLbCAKS,spotify:album:7luUoT7Y82DkMvGzZib8oo,spotify:track:1QBoJK6GLAYMlNblm5gFBP,3.0
102,2021-02-22 06:38,Keala Settle,Bird Set Free,24482,spotify:artist:7HV2RI2qNug4EcQqLbCAKS,spotify:album:7KvITMHiH0V9beHz4FAiHk,spotify:track:01mfJ2QI3OYtiLat3GasVB,1.0
103,2021-02-22 06:41,Elijah N,Everybody,257,spotify:artist:6SbkdoreoUsexJVVmFAOFl,spotify:album:7GFDwR3G1jijRt07omeW6C,spotify:track:43nTVV8UMUv3jVx5MpYEGO,7.0
104,2021-02-22 06:41,Elijah N,Everybody,5464,spotify:artist:6SbkdoreoUsexJVVmFAOFl,spotify:album:7GFDwR3G1jijRt07omeW6C,spotify:track:43nTVV8UMUv3jVx5MpYEGO,7.0
105,2021-02-22 06:41,Elijah N,Everybody,9932,spotify:artist:6SbkdoreoUsexJVVmFAOFl,spotify:album:7GFDwR3G1jijRt07omeW6C,spotify:track:43nTVV8UMUv3jVx5MpYEGO,7.0
106,2021-02-22 06:41,Elijah N,Everybody,0,spotify:artist:6SbkdoreoUsexJVVmFAOFl,spotify:album:7GFDwR3G1jijRt07omeW6C,spotify:track:43nTVV8UMUv3jVx5MpYEGO,7.0
107,2021-02-22 06:42,Elijah N,Everybody,38623,spotify:artist:6SbkdoreoUsexJVVmFAOFl,spotify:album:7GFDwR3G1jijRt07omeW6C,spotify:track:43nTVV8UMUv3jVx5MpYEGO,7.0
108,2021-02-22 06:51,Rihanna,Only Girl (In The World),877,spotify:artist:5pKCCKE2ajJHZ9KAiaK11H,spotify:album:5QG3tjE5L9F6O2vCAPph38,spotify:track:2ENexcMEMsYk0rVJigVD3i,3.0
109,2021-02-22 06:51,Pháo,2 Phút Hơn KAIZ Remix,7306,spotify:artist:4en2ObzSYlIYbCGknXjgG9,spotify:album:1V8qSPtmixwUiyLheEazuc,spotify:track:4SUk1ZTtA6OC120afxrpRZ,2.0
110,2021-02-22 06:51,One Direction,What Makes You Beautiful,523,spotify:artist:4AK6F7OLvEQ5QYCBNiQWHq,spotify:album:6cunQQ7YZisYOoiFu2ywIq,spotify:track:4cluDES4hQEUhmXj6TXkSo,3.0
111,2021-02-22 06:51,Run–D.M.C.,Its Tricky,5661,spotify:artist:3CQIn7N5CuRDP8wEI7FiDA,spotify:album:7AFsTiojVaB2I58oZ1tMRg,spotify:track:6jBCehpNMkwFVF3dz4nLIW,3.0
112,2021-02-22 06:51,Cardi B,WAP (feat. Megan Thee Stallion),19046,spotify:artist:4kYSro6naA4h99UJvo89HB,spotify:album:2ogiazbrNEx0kQHGl5ZBTQ,spotify:track:4Oun2ylbjFKMPTiaSbbCih,5.0
113,2021-02-22 06:51,Keala Settle,"This Is Me Alan Walker Relift; from ""The Greatest Showman""",82400,spotify:artist:7HV2RI2qNug4EcQqLbCAKS,spotify:album:7luUoT7Y82DkMvGzZib8oo,spotify:track:1QBoJK6GLAYMlNblm5gFBP,3.0
114,2021-02-22 06:52,Asaf Avidan,The Labyrinth Song,1201,spotify:artist:7t51dSX8ZkKC7VoKRd0lME,spotify:album:5SnyFVHXPnQLzqys1O0kWe,spotify:track:2H4x76nJf1q2jqw72uwzxN,9.0
115,2021-02-22 06:52,Jack Johnson,Better Together,14647,spotify:artist:3GBPw9NK25X1Wt2OUvOwY3,spotify:album:7tTc46dNdE6GGuiQsssWxo,spotify:track:4VywXu6umkIQ2OS0m1I79y,2.0
116,2021-02-22 06:52,Raury,Gods Whisper,215,spotify:artist:2PU4qFehXQF7WnlFsJpBiJ,spotify:album:3HVk2UGwXUfE51s1MmPzrL,spotify:track:4BjX3hTy43SMyXUKXBVF2v,6.0
117,2021-02-22 06:53,Regard,Ride It,1471,spotify:artist:4ofCBoyEiGSePFAG500xev,spotify:album:4zOhjJfe0dwqsNdDYk622E,spotify:track:2tnVG71enUj33Ic2nFN6kZ,4.0
118,2021-02-22 06:53,Regard,Ride It,5505,spotify:artist:4ofCBoyEiGSePFAG500xev,spotify:album:4zOhjJfe0dwqsNdDYk622E,spotify:track:2tnVG71enUj33Ic2nFN6kZ,4.0
119,2021-02-22 06:53,Jeff Buckley,Hallelujah,0,spotify:artist:3nnQpaTvKb5jCQabZefACI,spotify:album:7yQtjAjhtNi76KRu05XWFS,spotify:track:3pRaLNL3b8x5uBOcsgvdqM,5.0
120,2021-02-22 06:53,Mabel,Dont Call Me Up,1065,spotify:artist:1MIVXf74SZHmTIp4V4paH4,spotify:album:0syM7OUAhV7S6XmOa4nLUZ,spotify:track:5WHTFyqSii0lmT9R21abT8,8.0
121,2021-02-22 06:53,Tujamo,Candy On The Dancefloor,744,spotify:artist:2vVNxGBvKRQMWwI5c8KmYh,spotify:album:4aKSciNw4kZGWZVGHKmMEO,spotify:track:41RSRxdVqnSWlL9Glx95fG,3.0
122,2021-02-22 06:53,Asaf Avidan,The Labyrinth Song,55958,spotify:artist:7t51dSX8ZkKC7VoKRd0lME,spotify:album:5SnyFVHXPnQLzqys1O0kWe,spotify:track:2H4x76nJf1q2jqw72uwzxN,9.0
123,2021-02-22 06:53,Bonaparte,Melody X,1679,spotify:artist:2jwl8DJIsmnFbA5vPdGSCy,spotify:album:3HCY9oQ7X5vPQzfkHAgNW0,spotify:track:5rZRM3Lf4eGsMpCDcOJ87C,5.0
124,2021-02-22 06:53,Jax Jones,Breathe,540,spotify:artist:4Q6nIcaBED8qUel8bBx6Cr,spotify:album:3Qogp7B6ZdNWIijjpxpvx0,spotify:track:4lN7fiv6YxuNDVniqrmLaQ,5.0
125,2021-02-22 06:53,Marie Davidson,Work It Soulwax Remix,789,spotify:artist:7xJVICbAWizNBKBD3mRWjF,spotify:album:074U95kLP3roPuXrpjTYtT,spotify:track:6WfL1pwMyFf3IvFWLnre4P,5.0
126,2021-02-22 06:53,Clean Bandit,Symphony (feat. Zara Larsson),16778,spotify:artist:6MDME20pz9RveH9rEXvrOM,spotify:album:4b13SJlne61y53KSEwuQtD,spotify:track:1x5sYLZiu9r5E43kMlt9f8,3.0
127,2021-02-22 06:53,Bonnie Tyler,Its a Heartache,155,spotify:artist:0SD4eZCN4Kr0wQk56hCdh2,spotify:album:5Z4U2T75N260P60v0LA2Kv,spotify:track:6XwmOknVeAwN3OQv1lIzCc,3.0
128,2021-02-22 06:53,Billie Eilish,everything i wanted,185,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,spotify:album:4i3rAwPw7Ln2YrKDusaWyT,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,4.0
129,2021-02-22 06:53,Billie Eilish,everything i wanted,0,spotify:artist:6qqNVTkY8uBg9cP3Jd7DAH,spotify:album:4i3rAwPw7Ln2YrKDusaWyT,spotify:track:3ZCTVFBt2Brf31RLEnCkWJ,4.0
130,2021-02-22 06:53,Jax Jones,All Day And Night,405,spotify:artist:4Q6nIcaBED8qUel8bBx6Cr,spotify:album:17RCI7D7nsLUcCa87iQYvU,spotify:track:2fb2sduLXTKgYod3yKA5io,7.0
