,artistName,trackName,artist_uri,album_uri,track_uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
60,Nora En Pure,Come With Me,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:1Z83BApqk19O0J3QAMRqaR,spotify:track:1Ht4NJdY8adMsW540P5vG0,0.00307,0.677,173625.0,0.758,0.736,6.0,0.22,-6.523,0.0,0.027,119.999,4.0,0.308
61,Nora En Pure,Tears In Your Eyes,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:3qIcWGQGUmiUPgA2x0W7OD,spotify:track:4xs3eeuZb1WofrjlUp65QP,0.0469,0.638,215125.0,0.773,0.000172,11.0,0.313,-5.849,0.0,0.0795,119.984,4.0,0.353
62,Nora En Pure,Enchantment,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:10BRsH87G6qLzaifLggT3J,spotify:track:4DiuwmmlIFwF5rFljlannW,0.0602,0.594,223276.0,0.866,0.486,7.0,0.214,-7.608,1.0,0.0697,124.001,4.0,0.0385
63,Nora En Pure,Fibonacci,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:0HQyQc8KYSgmt5iVieQWNY,spotify:track:0Jb3Kq7oDqRznHPIcrQpiX,0.0878,0.685,188484.0,0.781,0.824,5.0,0.319,-6.786,0.0,0.0326,122.015,3.0,0.065
64,Nora En Pure,In Your Eyes,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:5bdr0J9B1xKOKHtROVOBDR,spotify:track:501sz40LhXSFQHA2LTXMpw,0.134,0.615,196651.0,0.693,0.0843,7.0,0.345,-6.198,1.0,0.0414,108.993,4.0,0.212
65,Nora En Pure,Birthright,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:0ls1gAa8FU4CIxyWk7B25q,spotify:track:24KBMWfxD8l3z9JwfgU9oL,0.0175,0.641,183566.0,0.71,0.926,11.0,0.146,-9.871,1.0,0.036,122.021,4.0,0.0364
66,Nora En Pure,Branches,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:3DcpVOPGjLFZ19N2VezIve,spotify:track:6q5QgqXvW1lgIBSdSihcVN,0.0247,0.763,190732.0,0.823,0.911,9.0,0.353,-6.499,0.0,0.0362,122.974,4.0,0.337
67,Nora En Pure,Saltwater 2015 Radio Rework,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:5ZswIbwRaWolqNtBj0vfp1,spotify:track:2EMzMzKNNidJhIJgOQBkos,0.0108,0.795,189500.0,0.918,0.777,7.0,0.443,-4.594,1.0,0.0416,120.025,4.0,0.24
68,Nora En Pure,Heart Beating,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:3DFQvyHcoDjOafv2TiNrnL,spotify:track:1WvOvrsD1ntQq1khvNe3lK,0.117,0.73,163320.0,0.812,3.02e-05,7.0,0.147,-5.183,0.0,0.0889,125.13,4.0,0.503
69,Nora En Pure,Monsoon,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:6AyysfbORoo6avgs9tfTvg,spotify:track:1FgxefL0BLVL5nsteC1Qva,0.199,0.714,222947.0,0.892,0.951,6.0,0.127,-6.87,0.0,0.0539,122.953,4.0,0.137
