,artistName,trackName,artist_uri,album_uri,track_uri,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
32,R.I.O.,Shine On,spotify:artist:0Ol3Jol2T3lZZVLNNzWPhj,spotify:album:6hzcXhl0PzW7RVIaFqvGYe,spotify:track:7yIGRf80h3Kwi4GfwJUiQl,,,,,,,,,,,,,
33,Pakito,Living on Video,spotify:artist:4FHn7iPrkpqsUTwRSxfX4l,spotify:album:2khbF6IALjqaY1fEBUJdn2,spotify:track:7xd4W5j31YBgutLf2FlMuI,,,,,,,,,,,,,
34,Sonique,Sky,spotify:artist:5xtqw2B8z8JGfDYi2eAZHI,spotify:album:4LX27S3cszKEJW84BGa1Ff,spotify:track:7zlkYAQdYPIwagUwO7Dyah,,,,,,,,,,,,,
35,September,Satellites,spotify:artist:6VX2R9L0O0d6qPvqGuIH7b,spotify:album:3hAQd7sXzcFJApKbZfQhvs,spotify:track:7iZuR1XsziH1CN5xYp4H18,,,,,,,,,,,,,
36,Narcotic Thrust,I Like It,spotify:artist:5nI09GHOrlMO2wJNfDm2OD,spotify:album:0Xff533nhXOowBW85ouKEs,spotify:track:2ImBZyxZFNhMnPks8GyIsY,,,,,,,,,,,,,
38,Kate Ryan,Ella Elle L A Radio Version,spotify:artist:47BNWfpngeFHYvBlPPyraM,spotify:album:17dTqQJyrp8jd6GQXzx6r9,spotify:track:1bV3jw1mlVbPkzc9bCGCsl,,,,,,,,,,,,,
40,Akcent,Kylie,spotify:artist:57Pw3FSi1qi2fOY4wKOKjK,spotify:album:2ChywNmd4XCgJGnYUq8zAF,spotify:track:1zhUaodzu43qKwK0idP6IA,,,,,,,,,,,,,
41,EDX,All I Know,spotify:artist:7GMot9WvBYqhhJz92vhBp6,spotify:album:1x3YCrWS5EbU8Lqs0efi1M,spotify:track:6tr6I3YJnHUqKHfJXnm4jk,,,,,,,,,,,,,
42,EDX,I Found You (Neptune),spotify:artist:7GMot9WvBYqhhJz92vhBp6,spotify:album:3P86G1IWPEI9yX9ANvjJ0f,spotify:track:078XSMBD1XBjtxee96dgew,,,,,,,,,,,,,
43,Fleetwood Mac,Seven Wonders 2017 Remaster,spotify:artist:08GQAI4eElDnROBrJRGE0X,spotify:album:4AsXQ17Arq1cUVoa9dKJ3F,spotify:track:1VN2vWSkSmMKOhxr8lHzSx,,,,,,,,,,,,,
44,Fleetwood Mac,The Chain 2004 Remaster,spotify:artist:08GQAI4eElDnROBrJRGE0X,spotify:album:0BwWUstDMUbgq2NYONRqlu,spotify:track:5e9TFTbltYBg2xThimr0rU,,,,,,,,,,,,,
45,Cardi B,WAP (feat. Megan Thee Stallion),spotify:artist:4kYSro6naA4h99UJvo89HB,spotify:album:2ogiazbrNEx0kQHGl5ZBTQ,spotify:track:4Oun2ylbjFKMPTiaSbbCih,,,,,,,,,,,,,
60,Nora En Pure,Come With Me,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:1Z83BApqk19O0J3QAMRqaR,spotify:track:1Ht4NJdY8adMsW540P5vG0,,,,,,,,,,,,,
61,Nora En Pure,Tears In Your Eyes,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:3qIcWGQGUmiUPgA2x0W7OD,spotify:track:4xs3eeuZb1WofrjlUp65QP,,,,,,,,,,,,,
62,Nora En Pure,Enchantment,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:10BRsH87G6qLzaifLggT3J,spotify:track:4DiuwmmlIFwF5rFljlannW,,,,,,,,,,,,,
63,Nora En Pure,Fibonacci,spotify:artist:24DO0PijjITGIEWsO8XaPs,spotify:album:0HQyQc8KYSgmt5iVieQWNY,spotify:track:0Jb3Kq7oDqRznHPIcrQpiX,,,,,,,,,,,,,
